t[s] ECG[a.u.] Pletism[a.u.]
0.0000 -5.645662e+05 2.622368e-01
0.0151 -4.990282e+05 1.178054e+02
0.0302 -3.024192e+05 2.260138e+02
0.0453 -1.058122e+05 3.165499e+02
0.0604 2.218658e+05 3.829577e+02
0.0755 4.184768e+05 4.213267e+02
0.0906 4.840118e+05 4.306548e+02
0.1057 6.150838e+05 4.128698e+02
0.1208 8.772278e+05 3.725116e+02
0.1358 9.427618e+05 3.161199e+02
0.1509 9.427628e+05 2.514043e+02
0.1660 9.427638e+05 1.863026e+02
0.1811 5.495458e+05 1.280418e+02
0.1962 -4.334922e+05 8.231613e+01
0.2113 -1.088854e+06 5.267751e+01
0.2264 -1.219926e+06 4.020750e+01
0.2415 -1.154390e+06 4.350197e+01
0.2566 -1.219925e+06 5.896160e+01
0.2717 -7.611712e+05 8.134328e+01
0.2868 -3.679562e+05 1.044974e+02
0.3019 -3.679582e+05 1.221948e+02
0.3170 -3.024212e+05 1.289406e+02
0.3321 -3.679582e+05 1.206751e+02
0.3472 -2.368862e+05 9.528176e+01
0.3623 -4.027722e+04 5.284673e+01
0.3773 2.525778e+04 -4.352501e+00
0.3924 2.525978e+04 -7.211780e+01
0.4075 9.079478e+04 -1.448195e+02
0.4226 9.079478e+04 -2.160375e+02
0.4377 -1.058132e+05 -2.792740e+02
0.4528 -3.024202e+05 -3.286534e+02
0.4679 -3.024192e+05 -3.595304e+02
0.4830 -4.027822e+04 -3.689432e+02
0.4981 -1.058122e+05 -3.558707e+02
0.5132 2.525778e+04 -3.212769e+02
0.5283 1.563328e+05 -2.679512e+02
0.5434 1.563308e+05 -2.001753e+02
0.5585 -4.027522e+04 -1.232635e+02
0.5736 2.218678e+05 -4.303222e+01
0.5887 2.526078e+04 3.474270e+01
0.6038 2.218678e+05 1.048277e+02
0.6189 4.840128e+05 1.629491e+02
0.6339 4.840098e+05 2.060963e+02
0.6490 4.840098e+05 2.326961e+02
0.6641 4.840118e+05 2.426549e+02
0.6792 4.184738e+05 2.372800e+02
0.6943 5.495468e+05 2.190975e+02
0.7094 2.218668e+05 1.915895e+02
0.7245 2.526078e+04 1.588750e+02
0.7396 2.874028e+05 1.253595e+02
0.7547 4.184768e+05 9.537560e+01
0.7698 2.874028e+05 7.283434e+01
0.7849 3.529398e+05 6.090888e+01
0.8000 2.218658e+05 6.176621e+01
0.8151 -4.027622e+04 7.636589e+01
0.8302 9.079678e+04 1.043418e+02
0.8453 3.529378e+05 1.439815e+02
0.8604 2.218658e+05 1.923127e+02
0.8755 2.874038e+05 2.453011e+02
0.8905 -4.027522e+04 2.981545e+02
0.9056 2.874048e+05 3.457156e+02
0.9207 2.515629e+06 3.829179e+02
0.9358 1.005227e+07 4.052642e+02
0.9509 3.564204e+06 4.092827e+02
0.9660 -6.397268e+06 3.929102e+02
0.9811 -1.809750e+06 3.557565e+02
0.9962 -6.956372e+05 2.992096e+02
1.0113 -6.956362e+05 2.263614e+02
1.0264 -2.368842e+05 1.417475e+02
1.0415 -3.679582e+05 5.092309e+01
1.0566 -2.368832e+05 -4.008671e+01
1.0717 9.079478e+04 -1.254015e+02
1.0868 9.079378e+04 -1.998947e+02
1.1019 2.218678e+05 -2.597234e+02
1.1170 4.184748e+05 -3.027114e+02
1.1320 5.495458e+05 -3.285339e+02
1.1471 6.150848e+05 -3.386784e+02
1.1622 1.008300e+06 -3.361815e+02
1.1773 1.335978e+06 -3.251755e+02
1.1924 1.467052e+06 -3.103011e+02
1.2075 1.335981e+06 -2.960664e+02
1.2226 6.150828e+05 -2.862372e+02
1.2377 -4.990302e+05 -2.833443e+02
1.2528 -1.350996e+06 -2.883754e+02
1.2679 -1.088853e+06 -3.006975e+02
1.2830 -9.577802e+05 -3.182196e+02
1.2981 -1.023316e+06 -3.377742e+02
1.3132 -7.611712e+05 -3.556612e+02
1.3283 -4.990302e+05 -3.682744e+02
1.3434 -4.334942e+05 -3.727168e+02
1.3585 -4.334922e+05 -3.673112e+02
1.3736 -3.679552e+05 -3.519237e+02
1.3886 -3.024192e+05 -3.280491e+02
1.4037 9.079478e+04 -2.986346e+02
1.4188 -4.027622e+04 -2.676645e+02
1.4339 -1.713492e+05 -2.395586e+02
1.4490 -3.024222e+05 -2.184706e+02
1.4641 -3.679582e+05 -2.075891e+02
1.4792 -2.368832e+05 -2.085467e+02
1.4943 -2.368862e+05 -2.210303e+02
1.5094 -3.679572e+05 -2.426608e+02
1.5245 -1.713492e+05 -2.691710e+02
1.5396 9.079478e+04 -2.948662e+02
1.5547 -4.027822e+04 -3.133214e+02
1.5698 -1.713492e+05 -3.182215e+02
1.5849 -2.368842e+05 -3.042309e+02
1.6000 -3.024202e+05 -2.677787e+02
1.6151 -4.027722e+04 -2.076452e+02
